(90836, 20811)
(886343, 20327457)
(459988883, 259745946)
(206488623, 31166269)
(1929240, 22600662)
(603390989, 924041395)
(8312731, 1216849)
(612173914, 3583201)
(1552785254, 5702799)
(335811, 1340802)
(1389361681, 267843734)
(7750628, 31166269)
(390224619, 267316201)
(1932135334, 31166269)
(2058284979, 7799178)
(7016953, 31122504)
(27748267, 186245126)
(3717161, 194581972)
(958208, 2429957)
(188288463, 31166269)
(680124062, 1376408870)
(290953598, 352746989)
(20327457, 452881772)
(20438057, 17015232)
(224763224, 45697586)
(177253218, 48000985)
(405272458, 352746989)
(605681827, 319223866)
(35503779, 44168762)
(595979275, 31166269)
(1216849, 210250823)
(1662385362, 30109598)
(3583201, 48489398)
(15459819, 2166621)
(958208, 2429957)
(27113377, 253216239)
(612173914, 3583201)
(32566036, 506485849)
(330876100, 2429957)
(563934808, 1322371557)
(27568897, 242578311)
(42812971, 5618451)
(3, 20811)
(1127906089, 266095012)
(16626573, 4521923)
(17901022, 221873759)
(595979275, 31166269)
(1626697, 20811)
(405272458, 352746989)
(10330402, 49388347)
(489291667, 563934808)
(314961294, 439287371)
(318978109, 3278337)
(323067, 7750628)
(386113817, 504461795)
(207115603, 1929240)
(1520153927, 605681827)
(198246590, 474020376)
(189155187, 32566036)
(246675066, 31181470)
(44132338, 14007383)
(924041395, 254307695)
(2237012260, 924041395)
(15265310, 31166269)
(31303627, 37521774)
(1359908361, 177253218)
(392718956, 188288463)
(958205, 1430033993)
(48469578, 1812257)
(4213069, 276463616)
(1552785254, 5702799)
(25660025, 342271220)
(41253426, 33785594)
(248055141, 1244101237)
(232737209, 20438057)
(261582790, 31166269)
(26190194, 5469148)
(1760255755, 1358565111)
(3, 20811)
(274808704, 566155825)
(17682812, 4376210)
(635825995, 186192814)
(1674926839, 471567628)
(5469148, 31122504)
(17015232, 20438057)
(452881772, 221873759)
(31166269, 39586866)
(193711293, 5618451)
(611975996, 22600662)
(232737209, 20438057)
(1472229041, 1322371557)
(1931345, 31166269)
(781330142, 31166269)
(1288789770, 1485458839)
(3486264, 48000985)
(680124062, 1376408870)
(40981854, 31166269)
(1715732606, 20977314)
(20811, 1626697)
(623648523, 28219681)
(45752977, 31166269)
(1514898167, 2282897813)
(958208, 2429957)
(54552450, 8477062)
(4873405, 197359977)
(21613484, 178977972)
(1418566176, 261421792)
(180951104, 345017070)
(373719104, 234130459)
(109049, 14007383)
(602734094, 234334049)
(354688882, 1162502534)
(1216849, 210250823)
(335811, 1340802)
(37376153, 7750628)
(27568897, 242578311)
(8806150, 7750628)
(1616838166, 254307695)
(1430033993, 17015232)
(289975093, 7750628)
(31122504, 5618451)
(26389194, 5400153)
(595979275, 31166269)
(53275268, 190926986)
(486017419, 1674926839)
(33852444, 263140581)
(886343, 20327457)
(333898019, 341910822)
(471240576, 31166269)
(1340802, 1216849)
(2614447, 2429957)
(392271225, 286900478)
(185917359, 300007187)
(54261989, 31166269)
(1499563232, 557030963)
(1219680230, 1674926839)
(784264014, 495640818)
(14007383, 109049)
(187710460, 7750628)
(16106883, 319223866)
(25778892, 198246590)
(257670026, 2045078319)
(242578311, 16553226)
(1931345, 31166269)
(478826831, 235954176)
(189614680, 9771150)
(17084088, 27568897)
(21497779, 7750628)
(958208, 2429957)
(1763035, 50588856)
(1370543208, 2211541086)
(10079768, 199558)
(197359977, 5618451)
(242578311, 16553226)
(54646037, 5469148)
(20811, 1626697)
(251398382, 1216849)
(30983613, 904735218)
(1931345, 31166269)
(254660736, 345582)
(1291973650, 412365223)
(29286290, 7750628)
(25451743, 31228360)
(352216189, 313507461)
(11858354, 424656323)
(33785594, 5469148)
(207115603, 1929240)
(144564691, 1216849)
(611975996, 22600662)
(321966984, 1018205742)
(1586901057, 1501904009)
(9349869, 348612740)
(146235901, 1487862517)
(969835506, 1501904009)
(52267670, 2334477262)
(198246590, 474020376)
(395714285, 31166269)
(19285201, 15724621)
(17015232, 20438057)
(610916797, 189044821)
(4229131, 7750628)
(969835506, 1501904009)
(7799178, 319223866)
(370287555, 20438057)
(1639344462, 242578311)
(601542144, 248055141)
(8477062, 5618451)
(354688882, 1162502534)
(22465054, 9125775)
(45041772, 319223866)
(1143947719, 8006819)
(31181470, 26190194)
(109049, 14007383)
(33901829, 31166269)
(11937016, 3583201)
(17015232, 20438057)
(30004033, 439287371)
(221328036, 904735218)
(31994079, 1216849)
(206488623, 31166269)
(1416128333, 3583201)
(459988883, 259745946)
(855200749, 471567628)
(9607650, 1216849)
(30411919, 229554362)
(246530183, 17015232)
(18981563, 31166269)
(188502486, 474020376)
(261263286, 424656323)
(1289024478, 14640607)
(270319159, 967571728)
(29771634, 1228859497)
(31994079, 1216849)
(369303718, 904735218)
(763301916, 1481417473)
(377106, 20811)
(9176936, 220908750)
(505593492, 516700336)
(450276145, 201261851)
(240005572, 3583201)
(474020376, 198246590)
(218875353, 1340802)
(36139269, 17015232)
(10986089, 1216849)
(468008121, 1541840359)
(206488623, 31166269)
(1475966710, 270076672)
(12936542, 31166269)
(40189325, 1074742133)
(264302312, 605681827)
(1178962104, 1669670400)
(3583201, 48489398)
(46437988, 178977972)
(13936821, 342271220)
(51093641, 221873759)
(463035155, 182913838)
(493524, 360973346)
(343522140, 7750628)
(380208934, 207115603)
(263140581, 17015232)
(623648523, 28219681)
(36139269, 17015232)
(31122504, 5618451)
(254906988, 2001782768)
(344911499, 1472229041)
(23505290, 5469148)
(550867254, 763301916)
(302851132, 19285201)
(275989754, 37376153)
(583103756, 3583201)
(18621078, 1626697)
(1344573618, 31166269)
(2499919, 6844938)
(229031268, 322978108)
(610928826, 207115603)
(362452596, 3278337)
(1244101237, 20977314)
(287817631, 345468928)
(37521774, 197359977)
(54420479, 759694313)
(1216849, 210250823)
(226834074, 1955970484)
(200315834, 1216849)
(45041772, 319223866)
(51825103, 360694436)
(43987623, 583103756)
(328864907, 506485849)
(1932135334, 31166269)
(623648523, 28219681)
(274106915, 145879449)
(180751979, 207115603)
(22105754, 287469883)
(522755993, 31166269)
(4809211, 5618451)
(1414796755, 763301916)
(17133589, 48000985)
(309644657, 825980664)
(11303416, 398114310)
(20271160, 922756081)
(42132411, 49305144)
(1752666740, 17015232)
(37376153, 7750628)
(557030963, 17015232)
(32566036, 506485849)
(10240977, 143766681)
(207914432, 20327457)
(508826770, 31166269)
(25660025, 342271220)
(203918792, 195997492)
(11937016, 3583201)
(14434787, 1216849)
(278191737, 3583201)
(2962343, 1340802)
(274542328, 235131534)
(17015232, 20438057)
(189044821, 1498251184)
(54646037, 5469148)
(4699332, 1546658113)
(282784176, 33785594)
(352766591, 498630670)
(10079768, 199558)
(6927498, 31228360)
(31166269, 39586866)
(229241216, 174522435)
(31036392, 5469148)
(1099573025, 924041395)
(4461520, 186827193)
(367096327, 1228859497)
(9933864, 196831933)
(8488463, 276463616)
(904735218, 217666467)
(6427663, 14434787)
(1067599, 614280)
(2218967992, 759694313)
(286309749, 48408097)
(763301916, 1481417473)
(194436136, 797829120)
(362594588, 723825851)
(201670130, 5469148)
(270458473, 20327457)
(354688882, 1162502534)
(10569892, 474020376)
(573219148, 245509748)
(237274131, 5469148)
(424656323, 261263286)
(238455043, 745652615)
(31166269, 39586866)
(3278337, 855200749)
(28185785, 31166269)
(1475966710, 270076672)
(30109598, 10986089)
(193631978, 8457320)
(700960, 7750628)
(16563879, 187710460)
(4873405, 197359977)
(30983613, 904735218)
(25333594, 229554362)
(28219681, 924041395)
(2888295, 7750628)
(12500953, 922756081)
(90836, 20811)
(1216849, 210250823)
(284466133, 5602224)
(8477062, 5618451)
(37521774, 197359977)
(15520131, 31994079)
(53225566, 1111758175)
(676104055, 43777133)
(27481225, 33785594)
(958208, 2429957)
(229206835, 621756930)
(319597729, 24000064)
(516700336, 2334477262)
(365083347, 1836475715)
(1216849, 210250823)
(306835613, 237274131)
(230873402, 17015232)
(763301916, 1481417473)
(1565106646, 198246590)
(763301916, 1481417473)
(49305144, 20327457)
(200315834, 1216849)
(1728948050, 266095012)
(39257935, 1216849)
(502765372, 270009254)
(1067599, 614280)
(9315238, 2020519)
(1814005824, 563934808)
(245081170, 471567628)
(2429957, 958208)
(6733703, 2429957)
(109049, 14007383)
(1036222646, 104846982)
(237823486, 40556777)
(403548166, 274106915)
(24868308, 20327457)
(1602162540, 7750628)
(850080, 1067599)
(263140581, 17015232)
(307933074, 31166269)
(348612740, 234130459)
(1244101237, 20977314)
(45888914, 3583201)
(199135491, 180951104)
(1812257, 5618451)
(1642578649, 405272458)
(16581879, 39025232)
(324326121, 1193828642)
(9125775, 31166269)
(237139438, 51612933)
(4809211, 5618451)
(47056840, 1987134)
(45321, 7750628)
(42132411, 49305144)
(2205915875, 272711143)
(32566036, 506485849)
(1414474944, 2068252931)
(22294449, 471567628)
(30820455, 850080)
(221328036, 904735218)
(217666467, 904735218)
(1616838166, 254307695)
(351843839, 17015232)
(239771838, 109049)
(11234009, 2429957)
(3151815, 2159530015)
(1033438, 220908750)
(242756379, 189259421)
(30880045, 1159831)
(1767135488, 7750628)
(1054560919, 439287371)
(401998462, 17015232)
(1397667967, 192483804)
(1292521773, 1126748931)
(1397667967, 192483804)
(25660025, 342271220)
(261582790, 31166269)
(205752983, 31166269)
(633708015, 3583201)
(43777133, 31166269)
(40603783, 424656323)
(610851086, 18137674)
(13503780, 517469214)
(194357705, 48704193)
(274151426, 277013173)
(735468625, 50125937)
(345582, 17015232)
(5944084, 31166269)
(1932135334, 31166269)
(254609948, 46670386)
(1772246245, 31166269)
(293477876, 1616838166)
(680124062, 1376408870)
(1654610730, 17015232)
(31994079, 1216849)
(49305144, 20327457)
(9656641, 5469148)
(201981631, 351843839)
(192261019, 51612933)
(36139269, 17015232)
(1023981, 9125775)
(51093641, 221873759)
(2543857210, 463035155)
(1780109981, 17015232)
(47747563, 904735218)
(22600662, 1929240)
(506861494, 306359984)
(1101505419, 1653946197)
(23258308, 32566036)
(1560215505, 405272458)
(29286290, 7750628)
(2962343, 1340802)
(680124062, 1376408870)
(18621078, 1626697)
(13330752, 32566036)
(363997562, 31166269)
(1520153927, 605681827)
(27568897, 242578311)
(254934291, 452881772)
(6120909, 7750628)
(341307581, 31166269)
(567601, 7750628)
(49824950, 1433249465)
(2499919, 6844938)
(352209064, 287538838)
(227534, 28219681)
(307933074, 31166269)
(583103756, 3583201)
(33993557, 5702799)
(345582, 17015232)
(272689385, 392718956)
(207115603, 1929240)
(523480171, 904735218)
(54194045, 7750628)
(352746989, 405272458)
(1712441494, 245509748)
(307933074, 31166269)
(182121909, 17015232)
(48469578, 1812257)
(192261019, 51612933)
(27320150, 31036392)
(329278622, 1293539055)
(9607650, 1216849)
(1616838166, 254307695)
(17804184, 274106915)
(223595764, 31181470)
(253128652, 31166269)
(232737209, 20438057)
(20272441, 553101064)
(49997546, 7750628)
(24210852, 31166269)
(263140581, 17015232)
(604947545, 39586866)
(605786415, 1939728)
(1089056128, 1349269043)
(16128224, 88576)
(287538838, 471567628)
(32566036, 506485849)
(292311086, 7750628)
(1071070095, 759694313)
